GEOID,CTYNAME,RACE,SEX,AGEGRP,YEAR,POPULATION
47005,Benton,1,2,6,2022,378
47005,Benton,1,2,7,2022,397
47005,Benton,1,2,8,2022,376
47005,Benton,1,2,9,2022,393
47005,Benton,1,2,10,2022,423
47005,Benton,1,2,11,2022,521
47005,Benton,1,2,12,2022,562
47005,Benton,1,2,13,2022,604
47005,Benton,1,2,14,2022,570
47005,Benton,1,2,15,2022,494
47005,Benton,1,2,16,2022,415
47005,Benton,1,2,17,2022,239
47005,Benton,1,2,18,2022,247
47005,Benton,2,1,1,2022,12
47005,Benton,2,1,2,2022,10
47005,Benton,2,1,3,2022,14
47005,Benton,2,1,4,2022,9
47005,Benton,2,1,5,2022,11
47005,Benton,2,1,6,2022,7
47005,Benton,2,1,7,2022,17
47005,Benton,2,1,8,2022,19
47005,Benton,2,1,9,2022,8
47005,Benton,2,1,10,2022,14
47005,Benton,2,1,11,2022,14
47005,Benton,2,1,12,2022,22
47005,Benton,2,1,13,2022,12
47005,Benton,2,1,14,2022,8
47005,Benton,2,1,15,2022,15
47005,Benton,2,1,16,2022,9
47005,Benton,2,1,17,2022,2
47005,Benton,2,1,18,2022,0
47005,Benton,2,2,1,2022,8
47005,Benton,2,2,2,2022,9
47005,Benton,2,2,3,2022,14
47005,Benton,2,2,4,2022,5
47005,Benton,2,2,5,2022,11
47005,Benton,2,2,6,2022,9
47005,Benton,2,2,7,2022,16
47005,Benton,2,2,8,2022,7
47005,Benton,2,2,9,2022,10
47005,Benton,2,2,10,2022,11
47005,Benton,2,2,11,2022,12
47005,Benton,2,2,12,2022,10
47005,Benton,2,2,13,2022,10
47005,Benton,2,2,14,2022,17
47005,Benton,2,2,15,2022,7
47005,Benton,2,2,16,2022,8
47005,Benton,2,2,17,2022,8
47005,Benton,2,2,18,2022,4
47005,Benton,3,1,1,2022,25
47005,Benton,3,1,2,2022,20
47005,Benton,3,1,3,2022,23
47005,Benton,3,1,4,2022,13
47005,Benton,3,1,5,2022,13
47005,Benton,3,1,6,2022,17
47005,Benton,3,1,7,2022,19
47005,Benton,3,1,8,2022,24
47005,Benton,3,1,9,2022,15
47005,Benton,3,1,10,2022,16
47005,Benton,3,1,11,2022,17
47005,Benton,3,1,12,2022,12
47005,Benton,3,1,13,2022,9
47005,Benton,3,1,14,2022,8
47005,Benton,3,1,15,2022,9
47005,Benton,3,1,16,2022,2
47005,Benton,3,1,17,2022,3
47005,Benton,3,1,18,2022,2
47005,Benton,3,2,1,2022,22
47005,Benton,3,2,2,2022,18
47005,Benton,3,2,3,2022,21
47005,Benton,3,2,4,2022,15
47005,Benton,3,2,5,2022,12
47005,Benton,3,2,6,2022,14
47005,Benton,3,2,7,2022,18
47005,Benton,3,2,8,2022,6
47005,Benton,3,2,9,2022,14
47005,Benton,3,2,10,2022,10
47005,Benton,3,2,11,2022,7
47005,Benton,3,2,12,2022,9
47005,Benton,3,2,13,2022,11
47005,Benton,3,2,14,2022,13
47005,Benton,3,2,15,2022,5
47005,Benton,3,2,16,2022,7
47005,Benton,3,2,17,2022,3
47005,Benton,3,2,18,2022,6
47005,Benton,4,1,1,2022,20
47005,Benton,4,1,2,2022,33
47005,Benton,4,1,3,2022,17
47005,Benton,4,1,4,2022,20
47005,Benton,4,1,5,2022,15
47005,Benton,4,1,6,2022,8
47005,Benton,4,1,7,2022,10
47005,Benton,4,1,8,2022,9
47005,Benton,4,1,9,2022,13
47005,Benton,4,1,10,2022,12
47005,Benton,4,1,11,2022,8
47005,Benton,4,1,12,2022,12
47005,Benton,4,1,13,2022,12
47005,Benton,4,1,14,2022,13
47005,Benton,4,1,15,2022,15
47005,Benton,4,1,16,2022,5
47005,Benton,4,1,17,2022,5
47005,Benton,4,1,18,2022,4
47005,Benton,4,2,1,2022,21
47005,Benton,4,2,2,2022,13
47005,Benton,4,2,3,2022,23
47005,Benton,4,2,4,2022,12
47005,Benton,4,2,5,2022,12
47005,Benton,4,2,6,2022,12
47005,Benton,4,2,7,2022,8
47005,Benton,4,2,8,2022,14
47005,Benton,4,2,9,2022,10
47005,Benton,4,2,10,2022,12
47005,Benton,4,2,11,2022,19
47005,Benton,4,2,12,2022,13
47005,Benton,4,2,13,2022,13
47005,Benton,4,2,14,2022,23
47005,Benton,4,2,15,2022,13
47005,Benton,4,2,16,2022,8
47005,Benton,4,2,17,2022,4
47005,Benton,4,2,18,2022,3
47007,Bledsoe,1,1,1,2022,264
